file,CERT,YEAR,QUARTER,column,raw_value,panel_value,match
00Q1.csv,32293,2000,1,EQTOT,5509,5509.0,True
00Q1.csv,5753,2000,1,NCRECONR,0,0.0,True
00Q1.csv,913,2000,1,LNLSDEPR,66.7986789554672,66.7986789554672,True
00Q1.csv,23041,2000,1,NTLNLSR,-0.004492918037942693,-0.004492918037942693,True
00Q1.csv,12761,2000,1,NOIJ,137,137.0,True
00Q1.csv,16094,2000,1,DEPFOR,,,True
00Q1.csv,2753,2000,1,LNRESNCR,248.78048780487805,248.78048780487805,True
00Q1.csv,12959,2000,1,LIAB,101980,101980.0,True
00Q1.csv,23216,2000,1,EQ,1239,1239.0,True
00Q1.csv,12356,2000,1,SC,11622,11622.0,True
00Q1.csv,30976,2000,1,NFAA,0,0,True
00Q1.csv,29568,2000,1,DEPNIDOM,0,0.0,True
00Q1.csv,26647,2000,1,SZLNCI,,,True
00Q1.csv,34102,2000,1,NONIIAY,0.29,0.29,True
00Q1.csv,27126,2000,1,IDERNCVR,0,0.0,True
00Q1.csv,5722,2000,1,IDNTCIR,-1.09080992637033,-1.09080992637033,True
00Q1.csv,32526,2000,1,NETINBM,,,True
00Q1.csv,23627,2000,1,PARCERT,0,0,True
00Q1.csv,3355,2000,1,DEPNIDOM,12495,12495.0,True
00Q1.csv,10491,2000,1,NUMEMP,30,30.0,True
00Q1.csv,5438,2000,1,DEPINS,33394,33394.0,True
00Q1.csv,34984,2000,1,IDNCGTPR,0,0.0,True
00Q1.csv,27317,2000,1,IDNTCIR,0.07673206654375327,0.07673206654375327,True
00Q1.csv,34303,2000,1,ERNASTR,92.71,92.71,True
00Q1.csv,10077,2000,1,DEPFOR,,,True
00Q1.csv,22860,2000,1,LIAB,126631,126631.0,True
00Q1.csv,21265,2000,1,P3ASSET,,,True
00Q1.csv,28155,2000,1,DEP,64362,64362.0,True
00Q1.csv,4049,2000,1,ZIP,73114,73114,True
00Q1.csv,17524,2000,1,NPERFV,1.1997529920310523,1.1997529920310523,True
00Q1.csv,23265,2000,1,P9ASSET,21,21.0,True
00Q1.csv,30713,2000,1,SZLNOTH,,,True
00Q1.csv,23838,2000,1,P9ASSET,36,36.0,True
00Q1.csv,15578,2000,1,ENDEFYMD,99991231,99991231.0,True
00Q1.csv,15883,2000,1,OBSDIR,0,0.0,True
00Q1.csv,11739,2000,1,DEPCSBQ,119494.9191,119494.9191,True
00Q1.csv,5247,2000,1,IGLSEC,-6,-6.0,True
00Q1.csv,9923,2000,1,FREPO,8169,8169.0,True
00Q1.csv,4927,2000,1,DEPALLEX,,,True
00Q1.csv,8276,2000,1,ASDROTH,,,True
00Q1.csv,32337,2000,1,UC,52316,52316.0,True
00Q1.csv,17870,2000,1,IDNCCIR,0,0.0,True
00Q1.csv,3190,2000,1,BKCLASS,N,N,True
00Q1.csv,15146,2000,1,LNLSNET,26614,26614.0,True
00Q1.csv,9667,2000,1,RISDATE,20000331,20000331,True
00Q1.csv,24340,2000,1,NAASSET,13,13,True
00Q1.csv,30951,2000,1,EQV,11.623988358140366,11.623988358140366,True
00Q1.csv,313,2000,1,OFFDOM,11,11.0,True
00Q1.csv,16026,2000,1,ESTYMD,19210618,19210618,True
00Q1.csv,15555,2000,1,LSALNLS,,,True
00Q2.csv,15699,2000,2,IDERNCVR,0,0.0,True
00Q2.csv,22381,2000,2,P3LTOT,,,True
00Q2.csv,1125,2000,2,SC,12060,12060.0,True
00Q2.csv,13081,2000,2,NETINC,554,554.0,True
00Q2.csv,12518,2000,2,IGLSEC,0,0.0,True
00Q2.csv,14911,2000,2,IDNCGTPR,0,0.0,True
00Q2.csv,28009,2000,2,MSA_NAME,,,True
00Q2.csv,16922,2000,2,TFRA,0,0,True
00Q2.csv,32647,2000,2,EQCDIVNTINC,131.11888111888112,131.11888111888112,True
00Q2.csv,16217,2000,2,SC,19825,19825.0,True
00Q2.csv,1114,2000,2,NONII,117,117.0,True
00Q2.csv,25667,2000,2,RSSDID,612364,612364,True
00Q2.csv,29930,2000,2,IGLSEC,0,0.0,True
00Q2.csv,19827,2000,2,NAME,PIONEER TRUST BANK NA,PIONEER TRUST BANK NA,True
00Q2.csv,34655,2000,2,SZLNCON,,,True
00Q2.csv,14779,2000,2,NOIJY,3.0795629555073183,3.0795629555073183,True
00Q2.csv,29899,2000,2,OFFOA,0,0.0,True
00Q2.csv,59,2000,2,P9LTOT,,,True
00Q2.csv,1342,2000,2,NCREMULR,0,0.0,True
00Q2.csv,29804,2000,2,EXTRA,0,0.0,True
00Q2.csv,33474,2000,2,NCCOMRER,0,0.0,True
00Q2.csv,17749,2000,2,NCRENRER,0.19679874048806087,0.19679874048806087,True
00Q2.csv,28344,2000,2,SZLNCI,,,True
00Q2.csv,11432,2000,2,IDNCCIR,0,0.0,True
00Q2.csv,27409,2000,2,NTLNLS,511,511.0,True
00Q2.csv,17114,2000,2,NCRENRER,0,0.0,True
00Q2.csv,10661,2000,2,DEPINS,69079,69079.0,True
00Q2.csv,3239,2000,2,ERNASTR,90.85,90.85,True
00Q2.csv,5684,2000,2,NCLNLSR,1.8166972851602368,1.8166972851602368,True
00Q2.csv,34185,2000,2,NONIX,541,541.0,True
